cbg,RCN
481990301001,3.3306690738754696e-16
481990301002,-1.6653345369377348e-15
481990301003,1.3322676295501878e-15
481990302001,5.551115123125783e-16
481990302002,1.7763568394002505e-15
481990302003,1.5543122344752192e-15
481990303001,-1.7763568394002505e-15
481990303002,-2.6645352591003757e-15
481990303003,-1.1102230246251565e-16
481990303004,-1.4432899320127035e-15
481990304001,1.2212453270876722e-15
481990304002,-9.992007221626409e-16
481990304003,-2.4424906541753444e-15
481990305011,2.3314683517128287e-15
481990305012,-5.551115123125783e-16
481990305021,1.1102230246251565e-16
481990305022,1.5543122344752192e-15
481990305023,1.2212453270876722e-15
481990305024,-9.992007221626409e-16
481990305025,6.661338147750939e-16
481990306001,1.1102230246251565e-16
481990306002,1.4432899320127035e-15
481990307001,-9.992007221626409e-16
481990307002,1.1102230246251565e-16
481990307003,2.220446049250313e-16
481990308001,-1.9984014443252818e-15
481990308002,1.1102230246251565e-15
481990308003,1.3322676295501878e-15
481990308004,3.3306690738754696e-16
481990308005,-1.4432899320127035e-15
481990308006,1.7763568394002505e-15
481990309001,-2.9976021664879227e-15
481990309002,-7.771561172376096e-16
481990309003,1.2212453270876722e-15
481990310001,-1.3322676295501878e-15
481990310002,2.220446049250313e-16
481990310003,-2.886579864025407e-15
482450001011,1.7763568394002505e-15
482450001012,2.9976021664879227e-15
482450001021,-1.5543122344752192e-15
482450001031,7.771561172376096e-16
482450001032,2.220446049250313e-16
482450002001,-1.1102230246251565e-15
482450002002,-3.3306690738754696e-16
482450002003,-1.9984014443252818e-15
482450003021,5.551115123125783e-16
482450003022,-1.1102230246251565e-15
482450003023,1.4432899320127035e-15
482450003041,-1.6653345369377348e-15
482450003042,1.6653345369377348e-15
482450003043,-9.992007221626409e-16
482450003044,5.551115123125783e-16
482450003045,2.55351295663786e-15
482450003061,-1.1102230246251565e-16
482450003062,3.1086244689504383e-15
482450003063,4.440892098500626e-16
482450003064,-1.2212453270876722e-15
482450003071,-6.661338147750939e-16
482450003081,-6.661338147750939e-16
482450003082,1.4432899320127035e-15
482450003083,-5.551115123125783e-16
482450003091,6.661338147750939e-16
482450003101,2.220446049250313e-15
482450003102,4.440892098500626e-16
482450003103,9.992007221626409e-16
482450003104,-1.1102230246251565e-16
482450003105,-2.1094237467877974e-15
482450004001,4.440892098500626e-16
482450004002,-9.992007221626409e-16
482450004003,-1.3322676295501878e-15
482450004004,2.3314683517128287e-15
482450005001,-2.6645352591003757e-15
482450005002,-3.3306690738754696e-16
482450006001,2.220446049250313e-15
482450006002,7.771561172376096e-16
482450006003,1.1102230246251565e-15
482450006004,1.1102230246251565e-15
482450006005,-2.220446049250313e-16
482450006006,1.7763568394002505e-15
482450007001,5.551115123125783e-16
482450007002,9.992007221626409e-16
482450007003,2.886579864025407e-15
482450007004,1.3322676295501878e-15
482450009001,3.3306690738754696e-16
482450009002,2.4424906541753444e-15
482450011001,-2.55351295663786e-15
482450011002,8.881784197001252e-16
482450011003,7.771561172376096e-16
482450012001,-2.1094237467877974e-15
482450012002,6.661338147750939e-16
482450013011,6.661338147750939e-16
482450013012,1.1102230246251565e-15
482450013013,2.886579864025407e-15
482450013014,-3.3306690738754696e-16
482450013021,1.4432899320127035e-15
482450013022,7.771561172376096e-16
482450013031,3.3306690738754696e-16
482450013032,-1.5543122344752192e-15
482450017001,-1.5543122344752192e-15
